mode,affinity,rmsd_lb,rmsd_ub,filename
4,-10.0,2.498,4.058,CHEMBL2420922.txt
5,-10.0,2.569,5.569,CHEMBL2420922.txt
6,-9.8,0.937,1.051,CHEMBL2420922.txt
7,-9.6,3.225,5.706,CHEMBL2420922.txt
8,-9.5,2.2680000000000002,5.247999999999999,CHEMBL2420922.txt
9,-9.4,2.082,4.909,CHEMBL2420922.txt
1,-8.6,0.0,0.0,CHEMBL249834.txt
2,-8.3,4.328,7.51,CHEMBL249834.txt
3,-8.2,4.823,8.491,CHEMBL249834.txt
4,-8.2,4.798,8.39,CHEMBL249834.txt
5,-8.2,4.423,7.692,CHEMBL249834.txt
6,-7.9,2.985,4.587,CHEMBL249834.txt
7,-7.8,3.016,4.763999999999999,CHEMBL249834.txt
8,-7.7,4.928999999999999,8.625,CHEMBL249834.txt
9,-7.7,2.265,4.811,CHEMBL249834.txt
1,-10.0,0.0,0.0,CHEMBL242949.txt
2,-9.9,0.8140000000000001,1.12,CHEMBL242949.txt
3,-9.8,1.5219999999999998,2.344,CHEMBL242949.txt
4,-9.5,1.3940000000000001,1.98,CHEMBL242949.txt
5,-9.4,2.824,10.425999999999998,CHEMBL242949.txt
6,-9.4,1.655,11.054,CHEMBL242949.txt
7,-9.3,2.376,11.140999999999998,CHEMBL242949.txt
8,-9.2,3.728,10.514000000000001,CHEMBL242949.txt
9,-9.0,1.926,10.469000000000001,CHEMBL242949.txt
1,-10.2,0.0,0.0,CHEMBL247825.txt
2,-9.9,3.241,5.195,CHEMBL247825.txt
3,-9.8,1.6119999999999999,1.983,CHEMBL247825.txt
4,-9.8,4.181,6.869,CHEMBL247825.txt
5,-9.8,2.7710000000000004,8.561,CHEMBL247825.txt
6,-9.7,3.787,6.439,CHEMBL247825.txt
7,-9.7,3.237,6.309,CHEMBL247825.txt
8,-9.5,3.2039999999999997,6.398,CHEMBL247825.txt
9,-9.5,3.281,8.142000000000001,CHEMBL247825.txt
1,-9.2,0.0,0.0,CHEMBL249363.txt
2,-9.1,2.793,9.544,CHEMBL249363.txt
3,-8.9,0.871,1.318,CHEMBL249363.txt
4,-8.9,1.266,2.1319999999999997,CHEMBL249363.txt
5,-8.7,1.5290000000000001,2.5869999999999997,CHEMBL249363.txt
6,-8.7,2.441,4.178,CHEMBL249363.txt
7,-8.6,2.128,3.775,CHEMBL249363.txt
8,-8.5,1.6969999999999998,2.117,CHEMBL249363.txt
9,-8.2,2.3569999999999998,8.757,CHEMBL249363.txt
1,-10.2,0.0,0.0,CHEMBL242237.txt
2,-9.9,2.827,7.506,CHEMBL242237.txt
3,-9.5,2.975,7.624,CHEMBL242237.txt
4,-9.2,3.235,6.426,CHEMBL242237.txt
5,-9.1,3.279,6.476,CHEMBL242237.txt
6,-9.1,3.32,6.739,CHEMBL242237.txt
7,-9.1,3.495,8.34,CHEMBL242237.txt
8,-8.9,3.7460000000000004,6.979,CHEMBL242237.txt
9,-8.9,2.9619999999999997,6.513,CHEMBL242237.txt
1,-9.5,0.0,0.0,CHEMBL248040.txt
2,-8.9,1.916,2.537,CHEMBL248040.txt
3,-8.5,3.014,6.44,CHEMBL248040.txt
4,-8.5,4.934,8.887,CHEMBL248040.txt
5,-8.0,3.469,5.582999999999999,CHEMBL248040.txt
6,-7.9,3.1310000000000002,5.736000000000001,CHEMBL248040.txt
7,-7.8,3.736,5.4270000000000005,CHEMBL248040.txt
8,-7.8,4.045,5.575,CHEMBL248040.txt
9,-7.8,4.401,6.702999999999999,CHEMBL248040.txt
1,-8.6,0.0,0.0,CHEMBL242753.txt
2,-8.5,1.8730000000000002,2.991,CHEMBL242753.txt
3,-8.5,2.872,4.237,CHEMBL242753.txt
4,-8.5,2.293,3.545,CHEMBL242753.txt
5,-8.4,1.791,2.6919999999999997,CHEMBL242753.txt
6,-8.4,1.777,2.549,CHEMBL242753.txt
7,-8.3,2.513,8.663,CHEMBL242753.txt
8,-8.3,1.5419999999999998,2.144,CHEMBL242753.txt
9,-8.2,3.839,6.537000000000001,CHEMBL242753.txt
1,-10.7,0.0,0.0,CHEMBL247824.txt
2,-10.6,2.7710000000000004,5.935,CHEMBL247824.txt
3,-10.5,3.2969999999999997,5.37,CHEMBL247824.txt
4,-10.4,1.268,1.339,CHEMBL247824.txt
5,-10.2,2.458,4.303999999999999,CHEMBL247824.txt
6,-10.2,3.9739999999999998,6.7379999999999995,CHEMBL247824.txt
7,-10.1,2.38,4.1339999999999995,CHEMBL247824.txt
8,-10.1,2.504,4.967,CHEMBL247824.txt
9,-10.1,2.773,4.525,CHEMBL247824.txt
1,-9.9,0.0,0.0,CHEMBL243934.txt
2,-9.9,3.542,9.259,CHEMBL243934.txt
3,-9.8,1.706,2.415,CHEMBL243934.txt
4,-9.7,1.237,1.84,CHEMBL243934.txt
5,-9.6,2.7969999999999997,8.652000000000001,CHEMBL243934.txt
6,-9.6,3.548,9.43,CHEMBL243934.txt
7,-9.1,3.613,6.178999999999999,CHEMBL243934.txt
8,-9.1,3.35,9.389,CHEMBL243934.txt
9,-9.1,2.548,5.433,CHEMBL243934.txt
1,-6.8,0.0,0.0,CHEMBL243088.txt
2,-6.6,3.908,6.08,CHEMBL243088.txt
3,-6.6,2.205,3.96,CHEMBL243088.txt
4,-6.6,1.806,2.7060000000000004,CHEMBL243088.txt
5,-6.5,1.89,3.327,CHEMBL243088.txt
6,-6.5,1.335,2.92,CHEMBL243088.txt
7,-6.5,2.3680000000000003,4.313,CHEMBL243088.txt
8,-6.5,13.669,15.907,CHEMBL243088.txt
9,-6.4,1.949,3.532,CHEMBL243088.txt
1,-9.7,0.0,0.0,CHEMBL247588.txt
2,-9.5,2.244,5.206,CHEMBL247588.txt
3,-9.4,1.8119999999999998,2.383,CHEMBL247588.txt
4,-9.2,1.4469999999999998,2.008,CHEMBL247588.txt
5,-9.1,2.8280000000000003,4.7139999999999995,CHEMBL247588.txt
6,-9.0,3.627,5.334,CHEMBL247588.txt
7,-9.0,3.464,5.231,CHEMBL247588.txt
8,-9.0,5.355,8.711,CHEMBL247588.txt
9,-8.9,3.215,4.996,CHEMBL247588.txt
1,-11.2,0.0,0.0,CHEMBL2420909.txt
2,-11.0,1.778,4.476,CHEMBL2420909.txt
3,-10.7,1.7619999999999998,2.867,CHEMBL2420909.txt
4,-10.7,1.8419999999999999,6.561,CHEMBL2420909.txt
5,-10.3,2.008,6.922999999999999,CHEMBL2420909.txt
6,-10.3,2.0069999999999997,7.026,CHEMBL2420909.txt
7,-10.2,1.6469999999999998,5.707999999999999,CHEMBL2420909.txt
8,-10.1,3.095,7.186,CHEMBL2420909.txt
9,-10.1,1.6740000000000002,6.388,CHEMBL2420909.txt
1,-8.3,0.0,0.0,CHEMBL245604.txt
2,-8.2,26.622,29.761,CHEMBL245604.txt
3,-8.1,1.084,1.456,CHEMBL245604.txt
4,-7.9,2.206,3.592,CHEMBL245604.txt
5,-7.9,14.695,18.704,CHEMBL245604.txt
6,-7.9,28.145,30.968000000000004,CHEMBL245604.txt
7,-7.8,15.003,18.815,CHEMBL245604.txt
8,-7.8,1.3459999999999999,1.834,CHEMBL245604.txt
9,-7.7,2.6639999999999997,6.02,CHEMBL245604.txt
1,-7.9,0.0,0.0,CHEMBL249764.txt
2,-7.9,2.775,7.523,CHEMBL249764.txt
3,-7.9,2.622,6.402,CHEMBL249764.txt
4,-7.8,3.133,6.358,CHEMBL249764.txt
5,-7.8,1.7309999999999999,2.739,CHEMBL249764.txt
6,-7.8,2.116,6.3260000000000005,CHEMBL249764.txt
7,-7.6,3.235,6.156000000000001,CHEMBL249764.txt
8,-7.6,3.2119999999999997,5.56,CHEMBL249764.txt
9,-7.6,3.27,6.069,CHEMBL249764.txt
1,-8.9,0.0,0.0,CHEMBL247826.txt
2,-8.9,2.279,2.944,CHEMBL247826.txt
3,-8.7,4.282,8.98,CHEMBL247826.txt
4,-8.7,3.932,8.95,CHEMBL247826.txt
5,-8.6,4.156000000000001,9.286,CHEMBL247826.txt
6,-8.6,2.8489999999999998,3.787,CHEMBL247826.txt
7,-8.6,2.839,4.438,CHEMBL247826.txt
8,-8.6,4.543,6.178,CHEMBL247826.txt
9,-8.6,5.731,8.05,CHEMBL247826.txt
1,-9.3,0.0,0.0,CHEMBL249610.txt
2,-9.2,2.112,4.129,CHEMBL249610.txt
3,-9.0,3.0980000000000003,8.216000000000001,CHEMBL249610.txt
4,-9.0,2.864,7.1979999999999995,CHEMBL249610.txt
5,-9.0,2.026,4.023,CHEMBL249610.txt
6,-8.9,2.295,6.6770000000000005,CHEMBL249610.txt
7,-8.8,1.3030000000000002,1.611,CHEMBL249610.txt
8,-8.7,2.75,4.902,CHEMBL249610.txt
9,-8.7,2.355,6.847,CHEMBL249610.txt
1,-9.5,0.0,0.0,CHEMBL248719.txt
2,-9.5,1.46,2.074,CHEMBL248719.txt
3,-9.1,24.88,27.874000000000002,CHEMBL248719.txt
4,-9.0,2.5069999999999997,5.072,CHEMBL248719.txt
5,-8.9,8.747,15.013,CHEMBL248719.txt
6,-8.8,2.6460000000000004,4.854,CHEMBL248719.txt
7,-8.8,2.932,4.418,CHEMBL248719.txt
8,-8.8,4.454,7.542999999999999,CHEMBL248719.txt
9,-8.7,1.575,2.294,CHEMBL248719.txt
1,-9.0,0.0,0.0,CHEMBL249177.txt
2,-9.0,2.487,4.388,CHEMBL249177.txt
3,-8.6,3.236,4.865,CHEMBL249177.txt
4,-8.6,2.051,4.449,CHEMBL249177.txt
5,-8.3,3.2110000000000003,5.662000000000001,CHEMBL249177.txt
6,-8.2,3.201,5.27,CHEMBL249177.txt
7,-8.2,3.0069999999999997,5.24,CHEMBL249177.txt
8,-8.2,2.208,2.909,CHEMBL249177.txt
9,-8.2,3.301,6.056,CHEMBL249177.txt
1,-8.9,0.0,0.0,CHEMBL243499.txt
2,-8.8,0.986,1.683,CHEMBL243499.txt
3,-8.7,1.335,2.386,CHEMBL243499.txt
4,-8.7,1.278,1.7819999999999998,CHEMBL243499.txt
5,-8.7,1.357,2.2119999999999997,CHEMBL243499.txt
6,-8.6,1.6280000000000001,1.876,CHEMBL243499.txt
7,-8.5,1.64,2.6689999999999996,CHEMBL243499.txt
8,-8.5,5.048,5.76,CHEMBL243499.txt
9,-8.5,25.201999999999998,26.57,CHEMBL243499.txt
1,-6.9,0.0,0.0,CHEMBL247827.txt
2,-6.5,2.444,4.8839999999999995,CHEMBL247827.txt
3,-6.5,2.96,3.761,CHEMBL247827.txt
4,-6.5,3.924,7.309,CHEMBL247827.txt
5,-6.5,2.2969999999999997,5.12,CHEMBL247827.txt
6,-6.4,2.733,4.489,CHEMBL247827.txt
7,-6.4,4.397,5.5920000000000005,CHEMBL247827.txt
8,-6.3,3.7880000000000003,4.877,CHEMBL247827.txt
9,-6.3,3.048,5.68,CHEMBL247827.txt
1,-9.5,0.0,0.0,CHEMBL247199.txt
2,-9.5,1.732,2.7230000000000003,CHEMBL247199.txt
3,-8.8,2.101,3.3,CHEMBL247199.txt
4,-8.6,6.0,10.609000000000002,CHEMBL247199.txt
5,-8.4,6.013999999999999,10.245,CHEMBL247199.txt
6,-8.3,5.973,9.809,CHEMBL247199.txt
7,-8.3,4.387,8.891,CHEMBL247199.txt
8,-8.2,4.724,9.706,CHEMBL247199.txt
9,-8.2,1.392,2.209,CHEMBL247199.txt
1,-7.8,0.0,0.0,CHEMBL249765.txt
2,-7.5,2.262,5.874,CHEMBL249765.txt
3,-7.4,1.8940000000000001,2.9760000000000004,CHEMBL249765.txt
4,-7.3,1.469,6.269,CHEMBL249765.txt
5,-7.3,2.252,4.28,CHEMBL249765.txt
